Date,Lower Hutt,Petone,Wainuiomata,Upper Hutt,Porirua,Wellington High (Moa),Wellington High (Western),Wellington Low Level,North Wellington (Moa),North Wellington (Porirua)
2006-01-01,245.4745579,214.2627821,222.0291136,286.8214638,261.5004164,148.6485517,151.0444428,267.7107402,287.4115611,274.9387274
2006-01-02,189.0618663,157.0786732,182.6077416,237.0447505,207.1737791,157.6009198,160.1416455,260.4341335,245.2158961,234.5788737
2006-01-03,277.0010876,454.9912187,228.117237,298.3095563,242.1666889,217.0684067,220.5685697,289.4564879,276.7390576,264.7398547
2006-01-04,241.7406638,283.909223,201.7977302,231.3086799,228.1840085,275.3859435,279.827406,284.3054971,219.9204991,210.3890689
2006-01-05,208.8784221,270.6708667,64.51657028,249.0589902,232.6202716,331.1146605,336.4560617,298.6709573,252.5438498,241.6032908
2006-01-06,239.979536,223.713562,351.2549121,274.8468234,269.0105754,278.1545416,282.6425688,331.528212,278.9887369,266.9078261
2006-01-07,277.0576121,320.6518,240.9313473,297.6320751,270.9948039,283.9874988,288.5706169,343.9924169,303.7887562,290.6396896
2006-01-08,282.9834837,248.006872,264.8171315,325.9832258,279.6250631,243.1606035,247.0856746,361.1261582,332.6522358,318.2601469
2006-01-09,306.5622272,157.3090823,172.6388316,265.8954426,350.5413627,398.128499,404.5564126,310.0066741,332.2878871,317.9178467
2006-01-10,428.4380723,476.5280845,167.1896096,293.5635741,310.9066887,380.5254938,386.6705089,470.2683822,323.2524445,309.2792623
2006-01-11,334.9328108,505.4713078,355.3167418,265.5011518,276.4595315,296.1578047,300.9414039,358.6931203,254.5772887,243.577531
2006-01-12,275.9787953,202.9493148,241.2816804,224.9749984,258.323591,293.0930229,297.8281262,290.4432282,226.9099012,217.1098847
2006-01-13,293.1526954,286.3998314,235.020922,227.1695573,258.2816334,283.2466968,287.8236997,313.4306727,244.4546532,233.9015183
2006-01-14,318.5859177,293.9561341,292.7642237,247.0393912,307.6781779,263.7132437,267.9755102,340.4286483,321.8958904,308.0056943
2006-01-15,327.1219709,301.3576788,250.9649718,239.6324893,283.9299116,308.8527746,313.8456699,369.430293,305.0527089,291.8950833
2006-01-16,368.4330348,317.9877538,182.2651683,287.535873,310.4100586,407.4148729,414.0025166,393.7237215,329.0531703,314.8665696
2006-01-17,388.2492677,407.8213182,366.9161567,246.1348929,284.6359064,346.8715857,352.4814738,372.2213248,300.3615725,287.4176413
2006-01-18,285.2917467,362.3409353,73.15660524,208.8246536,200.0639478,272.3610671,276.7668462,285.7269586,196.1462337,187.6971173
2006-01-19,278.1138437,271.0750859,295.6080353,223.5195665,210.4770522,278.514422,283.0206957,314.3882847,240.9085956,230.5358662
2006-01-20,260.4437601,384.2215899,219.718803,272.4265209,269.6785439,341.6365283,347.1652706,356.7500676,277.1954677,265.2655833
2006-01-21,271.0323377,296.0842332,249.2867886,299.1831262,282.5629753,254.6026486,258.7237861,347.9168656,289.2450209,276.8020153
2006-01-22,274.5438917,181.075406,266.0422725,299.4496145,296.156391,246.5221029,250.5132908,339.0389359,288.1494912,275.7590581
2006-01-23,359.2989078,376.5302648,325.2361057,377.5272259,340.0596163,367.070361,373.0144831,389.6432996,353.7709935,338.5655177
2006-01-24,219.3704007,398.7963981,109.8562635,258.8165965,237.5190532,299.1497489,303.9950315,324.011182,261.5595639,250.3223799
2006-01-25,213.8517375,258.3880669,123.4228817,235.3372279,190.9592349,289.6598716,294.3524424,296.9056,192.4607385,184.1958298
2006-01-26,254.9468747,342.5672136,285.1186227,239.0423795,195.2938858,323.3939625,328.6341451,345.572366,234.2668542,224.2110752
2006-01-27,326.3999219,287.6127768,308.5416247,294.2225111,267.1963187,330.8345341,336.1964171,393.5326371,276.5814249,264.7145387
2006-01-28,304.8557739,229.4161252,285.9894455,399.8827881,328.6032183,319.4960235,324.6752383,379.6425278,356.2263128,340.9489431
2006-01-29,278.6326663,344.3657571,256.8278511,360.8040721,277.9514093,289.0285137,293.7148244,373.4727139,287.8486438,275.5092013
2006-01-30,374.5473347,465.1638289,368.2594641,362.9179966,321.1034142,407.7823414,414.3955271,412.7583684,304.734274,291.6767346
2006-01-31,255.494561,327.1127907,193.5762773,302.3818805,234.1669627,312.0366471,317.0981535,406.1957171,261.1728655,249.9868164
2006-02-01,300.7903861,382.2329789,244.8282293,323.7795528,287.327002,406.8122038,413.4124482,323.3938921,289.6276824,277.2283788
2006-02-02,374.1768469,417.0006791,269.9907479,342.6127041,301.8312408,377.2554316,383.3774323,355.6512865,317.4918383,303.9056297
2006-02-03,168.2595321,259.5918174,178.7933132,266.895564,228.0041962,273.278916,277.714551,283.8478718,217.1244163,207.837259
2006-02-04,273.4472266,265.926478,274.5720634,297.6160242,285.7217313,281.3057964,285.872682,316.7509157,301.1392922,288.2642128
2006-02-05,205.0980731,288.0324646,197.5207346,249.3993248,198.2611495,143.139387,145.4636879,252.6908807,222.9409986,213.4134599
2006-02-06,283.5887613,307.4263791,271.0945488,338.6828614,305.6129902,279.289643,283.8257132,308.5852947,315.6497219,302.166167
